Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
P. Michael,NFANDROID2-PRV-FIRETVSTICK2020-AMAZOAFTSS-17689-07E83E675F47DE5C0216BFBCB10F3768627749358051EA627D012F186CFBF7DD,Amazon Fire TV Stick 2020 Lite Streaming Stick,2021-02-17T04:08:31.016Z,2021-12-29T20:47:07.115Z,2021-02-17T04:08:31.016Z,2021-11-25T02:18:56.692Z,2021-02-17T04:08:31.016Z,2021-12-29T20:47:07.115Z,2021-02-17T04:08:31.016Z,2021-11-25T02:18:56.692Z,
Barbara,NFANDROID1-PRV-P-SAMSUSM-G975U-7176-0485DFC5D89D29DD528C547E88F650BCB57F17F54C7C3E6C1C267D4E78C27AE23,DefaultWidevineAndroidPhone,2021-08-07T20:29:28.519Z,2022-01-09T00:29:47.431Z,2021-08-07T20:29:28.519Z,2022-01-09T00:29:47.431Z,,,,,
Dominic,NFANDROID1-PRV-P-SAMSUSM-G975U-7176-0485DFC5D89D29DD528C547E88F650BCB57F17F54C7C3E6C1C267D4E78C27AE23,DefaultWidevineAndroidPhone,2021-08-07T20:29:28.519Z,2022-01-09T00:29:47.431Z,2021-08-07T20:29:28.519Z,2022-01-09T00:29:47.431Z,,,,,
Ashley,NFANDROID1-PRV-P-SAMSUSM-G975U-7176-0485DFC5D89D29DD528C547E88F650BCB57F17F54C7C3E6C1C267D4E78C27AE23,DefaultWidevineAndroidPhone,2021-08-07T20:29:28.519Z,2022-01-09T00:29:47.431Z,2021-08-07T20:29:28.519Z,2022-01-09T00:29:47.431Z,,,,,
Natalie,NFANDROID1-PRV-P-SAMSUSM-G975U-7176-0485DFC5D89D29DD528C547E88F650BCB57F17F54C7C3E6C1C267D4E78C27AE23,DefaultWidevineAndroidPhone,2021-08-07T20:29:28.519Z,2022-01-09T00:29:47.431Z,2021-08-07T20:29:28.519Z,2022-01-09T00:29:47.431Z,,,,,
Ashley,LGTV2016D=D1001662193,LG 2016 MStar M2 Low DTV Smart TV,2020-06-09T04:00:37.152Z,2021-12-05T16:45:18.036Z,2020-07-01T05:00:34.008Z,2021-12-05T16:25:53.593Z,2020-06-09T04:00:37.152Z,2021-12-05T16:45:18.036Z,2020-07-01T05:00:34.008Z,2021-12-05T16:25:53.593Z,
P. Michael,NFANDROID2-PRV-FIRETVSTICK2018-AMAZOAFTMM-17461-B3628C48FC270B37D715D4544625257F15F32CF2A2DBF750D96B401E1A888F7F,FireTV 4K Stick 2018,2021-11-27T23:08:14.252Z,2022-07-11T06:46:09.168Z,2021-11-27T23:09:35.888Z,2022-07-11T06:46:09.168Z,2021-11-27T23:08:14.252Z,2021-11-29T04:56:14.376Z,2021-11-27T23:09:35.888Z,2021-11-29T04:56:14.376Z,
Dominic,CMCSTX1001-00000104020B29C5-CC65AD8E5E08,Comcast X1 MIPS NO SAGE MVPD STB,2020-07-07T04:43:39.975Z,2022-07-03T06:10:56.313Z,2020-07-13T04:24:11.073Z,2022-07-03T06:10:56.313Z,2021-03-14T02:04:09.224Z,2021-10-12T04:51:04.872Z,2021-03-14T02:04:09.224Z,2021-10-12T04:51:04.872Z,
Barbara,NFANDROID2-PRV-FIRETVSTICK2020-AMAZOAFTSS-17689-07E83E675F47DE5C0216BFBCB10F3768627749358051EA627D012F186CFBF7DD,Amazon Fire TV Stick 2020 Lite Streaming Stick,2021-02-17T04:08:31.016Z,2021-12-29T20:47:07.115Z,2021-02-17T04:08:31.016Z,2021-11-25T02:18:56.692Z,2021-07-22T03:19:32.947Z,2021-09-21T00:36:12.367Z,2021-07-22T03:29:00.312Z,2021-07-22T05:52:09.583Z,
Ashley,NFAPPL-04-APPLETV5=3-DF122301E3EADD68D5D342E6F8A18883DA02198533F547406801D2EFB79362DA,Apple Apple TV 4 Apple TV,2020-09-19T05:21:36.368Z,2021-08-05T04:37:12.156Z,2020-09-19T05:21:36.368Z,2021-08-05T03:53:59.417Z,2020-09-19T05:21:36.368Z,2021-08-05T04:37:12.156Z,2020-09-19T05:21:36.368Z,2021-08-05T03:53:59.417Z,
Dominic,NFAPPL-02-IPHONE11=2-4B59823EADF2B512F18C4F2D672C9EE9D6D2F1F6A158CB1B22BD7F1071017E02,Apple iPhone XS,,,,,,,,,
P. Michael,RKU-CXXXXDX0010004USX7,TCL Malone DV Smart TV,2020-10-25T18:44:15.487Z,2020-10-25T19:27:25.321Z,2020-10-25T18:44:15.487Z,2020-10-25T18:44:15.487Z,2020-10-25T18:44:15.487Z,2020-10-25T19:27:25.321Z,2020-10-25T18:44:15.487Z,2020-10-25T18:44:15.487Z,
P. Michael,NFANDROID1-PRV-T-L3-SAMSUSAMSUNG-SM-T377A-4445-03F2A4DA91356CD84C90888DE6B40A3E4473F08F669749A96F94DEFBD1CE75943,Android DefaultWidevineL3Tablet Android Tablet,,,,,,,,,
P. Michael,NFCDFF-02-GV8RJW8MFTDXYLMA6H1CLMY8LH20H5,Firefox PC (Cadmium),2021-02-25T20:58:59.734Z,2021-02-25T21:33:15.787Z,2021-02-25T20:58:59.734Z,2021-02-25T21:33:15.787Z,2021-02-25T20:58:59.734Z,2021-02-25T21:33:15.787Z,2021-02-25T20:58:59.734Z,2021-02-25T21:33:15.787Z,
P. Michael,NFANDROID2-PRV-FIRETVSTICK2018-AMAZOAFTMM-8415-30FAD8B8E84B9459184C65C56B42BA828CD8A5A60D82964E2BB47081A6AFD2D9,FireTV 4K Stick 2018,2020-07-19T22:23:35.536Z,2020-12-22T05:02:16.265Z,2020-07-19T22:25:17.803Z,2020-12-22T05:02:16.265Z,2020-07-19T22:23:35.536Z,2020-12-22T05:02:16.265Z,2020-07-19T22:25:17.803Z,2020-12-22T05:02:16.265Z,
Natalie,HISETVK55300000000000000000000000000167506,Sharp Sharp MTK5659 5.0 FHD TV Smart TV,2019-06-28T19:19:53.963Z,2019-08-27T03:46:55.648Z,,,2019-06-28T19:19:53.963Z,2019-08-27T03:46:55.648Z,,,
Barbara,NFANDROID2-PRV-FIRETVSTICK2018-AMAZOAFTMM-8415-103C4A9523432772A2E3422FD1D1043F24D7207586F7A0C9CCDD48856909158F,FireTV 4K Stick 2018,2019-02-20T04:21:09.558Z,2019-02-20T04:21:09.558Z,,,2019-02-20T04:21:09.558Z,2019-02-20T04:21:09.558Z,,,
P. Michael,NFANDROID1-PRV-P-SAMSUSAMSUNG-SM-G891A-6598-01266268E207B2BB4145D3DA7EF6E25F05EB83F785B2225A3B5F4895D824E65B7,DefaultWidevineAndroidPhone,,,,,,,,,
P. Michael,VIZTMG-0010000001215820,Vizio MG132 eMMC MT5580 TPV Smart TV,,,,,,,,,
P. Michael,DISECOHPRS-0005-58E9EF2C3E93F493,DishTV Dish Hopper w/Sling  MVPD STB,,,,,,,,,
