Esn,Country,Region Code,Device Description,Ip,Ts
NFANDROID1-PRV-P-SAMSUSM-G998U-19970-0C351C3108B958B7045437F5D2FC5BCA6335D926CA8F7A6575D86768990FA1323,US,CA,DefaultWidevineAndroidPhone,2601:204:e000:feb0:14e7:15db:a6a:68d9,2022-01-15 04:46:41
NFAPPL-02-IPHONE12=1-4B59823EADF2B512F18C4F2D672C9EE9D6D2F1F6A158CB1B22BD7F1071017E02,US,CA,Apple iPhone 11,2601:204:e080:9680:b8ef:15f0:a8c5:1cda,2022-02-08 21:04:08
