Profile Name,Title Description,Device,Playback Start Utc Ts,Country,Playtraces
Dominic,The Flash: Season 1_hook_primary_16x9,Netflix Windows App - Cadmium Windows Mobile,2022-07-07 19:46:22,US,"[{""eventType"":""start"",""sessionOffsetMs"":8,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":43582,""mediaOffsetMs"":0}]"
Dominic,Legend,Netflix Windows App - Cadmium Windows Mobile,2022-07-07 19:41:30,US,"[{""eventType"":""start"",""sessionOffsetMs"":42,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2916,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":4404,""mediaOffsetMs"":2975},{""eventType"":""reposition"",""sessionOffsetMs"":5891,""mediaOffsetMs"":3512000},{""eventType"":""playing"",""sessionOffsetMs"":6740,""mediaOffsetMs"":3512000},{""eventType"":""paused"",""sessionOffsetMs"":11670,""mediaOffsetMs"":3521860},{""eventType"":""reposition"",""sessionOffsetMs"":16600,""mediaOffsetMs"":4024000},{""eventType"":""playing"",""sessionOffsetMs"":17080,""mediaOffsetMs"":4024000},{""eventType"":""paused"",""sessionOffsetMs"":22564,""mediaOffsetMs"":4034967},{""eventType"":""reposition"",""sessionOffsetMs"":28047,""mediaOffsetMs"":4228000},{""eventType"":""playing"",""sessionOffsetMs"":28187,""mediaOffsetMs"":4228000},{""eventType"":""paused"",""sessionOffsetMs"":29836,""mediaOffsetMs"":4231297},{""eventType"":""reposition"",""sessionOffsetMs"":31484,""mediaOffsetMs"":4773000},{""eventType"":""playing"",""sessionOffsetMs"":32043,""mediaOffsetMs"":4773000},{""eventType"":""paused"",""sessionOffsetMs"":34410,""mediaOffsetMs"":4777733},{""eventType"":""reposition"",""sessionOffsetMs"":36776,""mediaOffsetMs"":5285000},{""eventType"":""playing"",""sessionOffsetMs"":37597,""mediaOffsetMs"":5285000},{""eventType"":""paused"",""sessionOffsetMs"":43722,""mediaOffsetMs"":5297250},{""eventType"":""reposition"",""sessionOffsetMs"":49847,""mediaOffsetMs"":5738000},{""eventType"":""playing"",""sessionOffsetMs"":50580,""mediaOffsetMs"":5738000},{""eventType"":""paused"",""sessionOffsetMs"":53392,""mediaOffsetMs"":5743623},{""eventType"":""reposition"",""sessionOffsetMs"":56203,""mediaOffsetMs"":6482000},{""eventType"":""playing"",""sessionOffsetMs"":56792,""mediaOffsetMs"":6483000},{""eventType"":""paused"",""sessionOffsetMs"":61031,""mediaOffsetMs"":6491478},{""eventType"":""reposition"",""sessionOffsetMs"":65270,""mediaOffsetMs"":7075000},{""eventType"":""playing"",""sessionOffsetMs"":65961,""mediaOffsetMs"":7075000},{""eventType"":""paused"",""sessionOffsetMs"":72294,""mediaOffsetMs"":7087666},{""eventType"":""reposition"",""sessionOffsetMs"":78627,""mediaOffsetMs"":7351000},{""eventType"":""playing"",""sessionOffsetMs"":79028,""mediaOffsetMs"":7351000},{""eventType"":""paused"",""sessionOffsetMs"":81019,""mediaOffsetMs"":7354982},{""eventType"":""reposition"",""sessionOffsetMs"":83010,""mediaOffsetMs"":7171000},{""eventType"":""playing"",""sessionOffsetMs"":83905,""mediaOffsetMs"":7171000},{""eventType"":""stopped"",""sessionOffsetMs"":278487,""mediaOffsetMs"":7365582}]"
Dominic,The Flash: Season 1_hook_primary_16x9,Netflix Windows App - Cadmium Windows Mobile,2022-07-07 19:41:05,US,"[{""eventType"":""start"",""sessionOffsetMs"":45,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":3110,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":12569,""mediaOffsetMs"":9000},{""eventType"":""stopped"",""sessionOffsetMs"":25156,""mediaOffsetMs"":9000}]"
Dominic,Generation Iron 3,Hisense  MSD6886 6.0 2G UHD Android TV Smart TV,2022-07-02 07:38:16,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2107,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":211768,""mediaOffsetMs"":209377},{""eventType"":""reposition"",""sessionOffsetMs"":211768,""mediaOffsetMs"":199649},{""eventType"":""playing"",""sessionOffsetMs"":215411,""mediaOffsetMs"":149983},{""eventType"":""paused"",""sessionOffsetMs"":223895,""mediaOffsetMs"":158531},{""eventType"":""reposition"",""sessionOffsetMs"":229448,""mediaOffsetMs"":290000},{""eventType"":""playing"",""sessionOffsetMs"":230012,""mediaOffsetMs"":289289},{""eventType"":""paused"",""sessionOffsetMs"":1295652,""mediaOffsetMs"":1355097},{""eventType"":""stopped"",""sessionOffsetMs"":1298097,""mediaOffsetMs"":1353936}]"
Dominic,Generation Iron 3_hook_primary_16x9,Hisense  MSD6886 6.0 2G UHD Android TV Smart TV,2022-07-02 07:38:00,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":3465,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":17428,""mediaOffsetMs"":13513},{""eventType"":""stopped"",""sessionOffsetMs"":18769,""mediaOffsetMs"":13918}]"
Dominic,Amateur (Trailer),Hisense  MSD6886 6.0 2G UHD Android TV Smart TV,2022-07-02 07:37:57,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":918},{""eventType"":""playing"",""sessionOffsetMs"":2642,""mediaOffsetMs"":918},{""eventType"":""paused"",""sessionOffsetMs"":2819,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":4742,""mediaOffsetMs"":97}]"
Dominic,Won't You Be My Neighbor?_hook_primary_16x9,Hisense  MSD6886 6.0 2G UHD Android TV Smart TV,2022-07-02 07:37:50,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2015,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":2197,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":4026,""mediaOffsetMs"":45}]"
Dominic,The Guns of Navarone_hook_02_16x9,Hisense  MSD6886 6.0 2G UHD Android TV Smart TV,2022-07-02 07:37:48,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":2805,""mediaOffsetMs"":0}]"
Dominic,Identity_hook_02_16x9,Hisense  MSD6886 6.0 2G UHD Android TV Smart TV,2022-07-02 07:37:46,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":2411,""mediaOffsetMs"":0}]"
Dominic,Count Me In_hook_03_16x9,Hisense  MSD6886 6.0 2G UHD Android TV Smart TV,2022-07-02 07:37:44,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2471,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":2589,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":4001,""mediaOffsetMs"":94}]"
Dominic,Christine_hook_primary_16x9,Hisense  MSD6886 6.0 2G UHD Android TV Smart TV,2022-07-02 07:37:41,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":3576,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":4276,""mediaOffsetMs"":596},{""eventType"":""stopped"",""sessionOffsetMs"":6604,""mediaOffsetMs"":94}]"
Dominic,Go Karts PVS Trailer B,Hisense  MSD6886 6.0 2G UHD Android TV Smart TV,2022-07-02 07:37:39,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1725,""mediaOffsetMs"":0}]"
Dominic,Triple Frontier (Trailer),Hisense  MSD6886 6.0 2G UHD Android TV Smart TV,2022-07-02 07:37:37,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2199,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":2339,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":4689,""mediaOffsetMs"":54}]"
Dominic,How to Train Your Dragon 2_hook_primary_16x9,Hisense  MSD6886 6.0 2G UHD Android TV Smart TV,2022-07-02 07:37:35,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":2579,""mediaOffsetMs"":0}]"
Dominic,Secrets of the Saqqara Tomb_VAR3-CONCRETE1_AGENCY2,Hisense  MSD6886 6.0 2G UHD Android TV Smart TV,2022-07-02 07:37:29,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2615,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":2731,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":4472,""mediaOffsetMs"":48}]"
Dominic,The Boy Who Harnessed the Wind_hook_05_16x9,Hisense  MSD6886 6.0 2G UHD Android TV Smart TV,2022-07-02 07:37:28,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":2734,""mediaOffsetMs"":0}]"
Dominic,Trailer: The Harder They Fall,Hisense  MSD6886 6.0 2G UHD Android TV Smart TV,2022-07-02 07:37:26,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":2549,""mediaOffsetMs"":0}]"
Dominic,Klaus (Clip Supporting Character),Hisense  MSD6886 6.0 2G UHD Android TV Smart TV,2022-07-02 07:37:21,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2726,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":2890,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":5203,""mediaOffsetMs"":87}]"
Dominic,Trailer: Operation Mincemeat,Hisense  MSD6886 6.0 2G UHD Android TV Smart TV,2022-07-02 07:37:09,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":20},{""eventType"":""playing"",""sessionOffsetMs"":3677,""mediaOffsetMs"":20},{""eventType"":""paused"",""sessionOffsetMs"":13968,""mediaOffsetMs"":9956},{""eventType"":""stopped"",""sessionOffsetMs"":16262,""mediaOffsetMs"":10153}]"
