Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Dominic,tvui,playback,,,2022-07-01 06:20:07
Dominic,tvui,playback,,,2022-07-01 05:58:44
Dominic,tvui,postPlay,,,2022-07-01 05:58:44
Dominic,tvui,playback,,,2022-07-01 05:58:38
Dominic,tvui,postPlay,,,2022-07-01 05:58:38
Dominic,tvui,postPlay,,,2022-07-01 05:37:25
Dominic,tvui,playback,,,2022-07-01 05:37:25
Dominic,tvui,playback,,,2022-07-01 05:37:19
Dominic,tvui,postPlay,,,2022-07-01 05:37:19
Dominic,tvui,playback,,,2022-07-01 05:11:48
Dominic,tvui,postPlay,,,2022-07-01 05:11:48
Dominic,tvui,playback,,,2022-07-01 05:11:45
Dominic,tvui,postPlay,,,2022-07-01 05:11:45
Dominic,tvui,movieDetails,,,2022-07-01 04:53:47
Dominic,tvui,playback,,,2022-07-01 04:53:47
Dominic,tvui,movieDetails,,,2022-07-01 04:53:46
Dominic,tvui,browseTitles,,,2022-07-01 04:53:46
Dominic,tvui,movieDetails,,,2022-07-01 04:53:45
Dominic,tvui,browseTitles,,,2022-07-01 04:53:45
Dominic,tvui,movieDetails,,,2022-07-01 04:53:42
Dominic,tvui,playback,,,2022-07-01 04:53:42
Dominic,tvui,playback,,,2022-07-01 04:53:15
Dominic,tvui,postPlay,,,2022-07-01 04:53:15
Dominic,tvui,playback,,,2022-07-01 04:53:09
Dominic,tvui,postPlay,,,2022-07-01 04:53:09
Dominic,tvui,playback,,,2022-07-01 04:35:39
Dominic,tvui,movieDetails,,,2022-07-01 04:35:39
Dominic,tvui,movieDetails,,,2022-07-01 04:35:38
Dominic,tvui,browseTitles,,,2022-07-01 04:35:38
Dominic,tvui,browseTitles,,,2022-07-01 04:32:29
Dominic,tvui,movieDetails,,,2022-07-01 04:32:29
Dominic,tvui,playback,,,2022-07-01 04:32:26
Dominic,tvui,movieDetails,,,2022-07-01 04:32:26
Dominic,tvui,episodesSelector,,,2022-07-01 04:30:37
Dominic,tvui,playback,,,2022-07-01 04:30:37
Dominic,tvui,movieDetails,,,2022-07-01 04:30:30
Dominic,tvui,episodesSelector,,,2022-07-01 04:30:30
Dominic,tvui,movieDetails,,,2022-07-01 04:30:26
Dominic,tvui,browseTitles,,,2022-07-01 04:30:26
Dominic,tvui,browseTitles,,,2022-07-01 04:30:12
Dominic,tvui,profilesGate,,,2022-07-01 04:30:12
Dominic,tvui,profilesGate,,,2022-06-27 08:15:19
Dominic,tvui,movieDetails,,,2022-06-27 08:15:19
Dominic,tvui,postPlay,,,2022-06-27 07:45:07
Dominic,tvui,movieDetails,,,2022-06-27 07:45:07
Dominic,tvui,playback,,,2022-06-27 07:45:01
Dominic,tvui,postPlay,,,2022-06-27 07:45:01
Dominic,tvui,movieDetails,,,2022-06-27 05:48:49
Dominic,tvui,playback,,,2022-06-27 05:48:49
Dominic,tvui,movieDetails,,,2022-06-27 05:48:47
Dominic,tvui,browseTitles,,,2022-06-27 05:48:47
Dominic,tvui,browseTitles,,,2022-06-27 05:46:43
Dominic,tvui,movieDetails,,,2022-06-27 05:46:43
Dominic,tvui,movieDetails,,,2022-06-27 05:46:36
Dominic,tvui,postPlay,,,2022-06-27 05:46:36
Dominic,tvui,postPlay,,,2022-06-27 05:46:24
Dominic,tvui,playback,,,2022-06-27 05:46:24
Dominic,tvui,playback,,,2022-06-27 04:01:22
Dominic,tvui,movieDetails,,,2022-06-27 04:01:22
Dominic,tvui,browseTitles,,,2022-06-27 04:01:20
Dominic,tvui,movieDetails,,,2022-06-27 04:01:20
Dominic,tvui,browseTitles,,,2022-06-27 04:01:06
Dominic,tvui,profilesGate,,,2022-06-27 04:01:06
Dominic,tvui,movieDetails,,,2022-06-25 02:59:41
Dominic,tvui,profilesGate,,,2022-06-25 02:59:41
Dominic,tvui,screenSaver,,,2022-06-25 02:55:47
Dominic,tvui,movieDetails,,,2022-06-25 02:55:47
Dominic,tvui,movieDetails,,,2022-06-25 02:34:41
Dominic,tvui,screenSaver,,,2022-06-25 02:34:41
Dominic,tvui,playback,,,2022-06-25 02:29:41
Dominic,tvui,movieDetails,,,2022-06-25 02:29:41
Dominic,tvui,movieDetails,,,2022-06-25 02:09:04
Dominic,tvui,playback,,,2022-06-25 02:09:04
Dominic,tvui,movieDetails,,,2022-06-25 02:09:02
Dominic,tvui,browseTitles,,,2022-06-25 02:09:02
Dominic,tvui,profilesGate,,,2022-06-25 02:08:50
Dominic,tvui,browseTitles,,,2022-06-25 02:08:50
Dominic,tvui,profilesGate,,,2022-06-25 02:08:47
Dominic,tvui,profilesGate,,,2022-06-23 17:29:30
Dominic,tvui,profilesGate,,,2022-06-23 06:28:09
Dominic,tvui,movieDetails,,,2022-06-23 06:28:09
Dominic,tvui,movieDetails,,,2022-06-23 05:56:47
Dominic,tvui,playback,,,2022-06-23 05:56:47
Dominic,tvui,playback,,,2022-06-23 04:22:25
Dominic,tvui,movieDetails,,,2022-06-23 04:22:25
Dominic,tvui,profilesGate,,,2022-06-23 02:09:39
Dominic,tvui,browseTitles,,,2022-06-23 02:09:39
Dominic,tvui,browseTitles,,,2022-06-23 01:35:47
Dominic,tvui,profilesGate,,,2022-06-23 01:35:47
Dominic,tvui,profilesGate,,,2022-06-21 00:13:18
Dominic,tvui,movieDetails,,,2022-06-21 00:13:18
Dominic,tvui,screenSaver,,,2022-06-21 00:06:25
Dominic,tvui,movieDetails,,,2022-06-21 00:06:25
Dominic,tvui,movieDetails,,,2022-06-20 23:48:19
Dominic,tvui,screenSaver,,,2022-06-20 23:48:19
Dominic,tvui,movieDetails,,,2022-06-20 23:43:19
Dominic,tvui,postPlay,,,2022-06-20 23:43:19
Dominic,tvui,playback,,,2022-06-20 23:41:30
Dominic,tvui,postPlay,,,2022-06-20 23:41:30
Dominic,tvui,postPlay,,,2022-06-20 22:52:48
Dominic,tvui,playback,,,2022-06-20 22:52:48
Dominic,tvui,playback,,,2022-06-20 22:52:43
Dominic,tvui,postPlay,,,2022-06-20 22:52:43
Dominic,tvui,episodesSelector,,,2022-06-20 22:07:49
Dominic,tvui,playback,,,2022-06-20 22:07:49
Dominic,tvui,movieDetails,,,2022-06-20 22:07:42
Dominic,tvui,episodesSelector,,,2022-06-20 22:07:42
Dominic,tvui,playback,,,2022-06-20 22:07:35
Dominic,tvui,movieDetails,,,2022-06-20 22:07:35
Dominic,tvui,postPlay,,,2022-06-20 22:07:23
Dominic,tvui,playback,,,2022-06-20 22:07:23
Dominic,tvui,playback,,,2022-06-20 22:07:17
Dominic,tvui,postPlay,,,2022-06-20 22:07:17
Dominic,tvui,playback,,,2022-06-20 21:22:05
Dominic,tvui,episodesSelector,,,2022-06-20 21:22:05
Dominic,tvui,movieDetails,,,2022-06-20 21:21:57
Dominic,tvui,episodesSelector,,,2022-06-20 21:21:57
Dominic,tvui,browseTitles,,,2022-06-20 21:21:51
Dominic,tvui,movieDetails,,,2022-06-20 21:21:51
Dominic,tvui,browseTitles,,,2022-06-20 21:21:46
Dominic,tvui,profilesGate,,,2022-06-20 21:21:46
Dominic,tvui,profilesGate,,,2022-06-20 17:02:00
Dominic,tvui,movieDetails,,,2022-06-20 07:03:18
Dominic,tvui,profilesGate,,,2022-06-20 07:03:18
Dominic,tvui,postPlay,,,2022-06-20 06:31:45
Dominic,tvui,movieDetails,,,2022-06-20 06:31:45
Dominic,tvui,playback,,,2022-06-20 06:31:42
Dominic,tvui,postPlay,,,2022-06-20 06:31:42
Dominic,tvui,postPlay,,,2022-06-20 06:31:09
Dominic,tvui,playback,,,2022-06-20 06:31:09
Dominic,tvui,playback,,,2022-06-20 06:31:04
Dominic,tvui,postPlay,,,2022-06-20 06:31:04
Dominic,tvui,playback,,,2022-06-20 04:53:36
Dominic,tvui,movieDetails,,,2022-06-20 04:53:36
Dominic,tvui,browseTitles,,,2022-06-20 04:53:34
Dominic,tvui,movieDetails,,,2022-06-20 04:53:34
Dominic,tvui,profilesGate,,,2022-06-20 04:53:29
Dominic,tvui,browseTitles,,,2022-06-20 04:53:29
Dominic,tvui,movieDetails,,,2022-06-19 06:36:17
Dominic,tvui,episodesSelector,,,2022-06-19 06:36:17
Dominic,tvui,postPlay,,,2022-06-19 06:36:12
Dominic,tvui,movieDetails,,,2022-06-19 06:36:12
Dominic,tvui,postPlay,,,2022-06-19 06:36:11
Dominic,tvui,playback,,,2022-06-19 06:36:11
Dominic,tvui,movieDetails,,,2022-06-19 06:08:58
Dominic,tvui,playback,,,2022-06-19 06:08:58
Dominic,tvui,errorDialog,,,2022-06-19 06:08:56
Dominic,tvui,movieDetails,,,2022-06-19 06:08:56
Dominic,tvui,errorDialog,,,2022-06-19 06:08:54
Dominic,tvui,playback,,,2022-06-19 06:08:54
Dominic,tvui,movieDetails,,,2022-06-19 05:57:06
Dominic,tvui,playback,,,2022-06-19 05:57:06
Dominic,tvui,browseTitles,,,2022-06-19 05:56:55
Dominic,tvui,movieDetails,,,2022-06-19 05:56:55
Dominic,tvui,profilesGate,,,2022-06-19 05:54:32
Dominic,tvui,profilesGate,,,2022-06-19 05:54:32
Dominic,tvui,browseTitles,,,2022-06-19 05:54:32
Dominic,tvui,playback,,,2022-06-18 05:36:00
Dominic,tvui,movieDetails,,,2022-06-18 05:36:00
Dominic,tvui,movieDetails,,,2022-06-18 05:21:40
Dominic,tvui,playback,,,2022-06-18 05:21:40
Dominic,tvui,browseTitles,,,2022-06-18 05:21:37
Dominic,tvui,movieDetails,,,2022-06-18 05:21:37
Dominic,tvui,errorDialog,,,2022-06-18 05:20:40
Dominic,tvui,browseTitles,,,2022-06-18 05:20:40
Dominic,tvui,browseTitles,,,2022-06-18 05:20:37
Dominic,tvui,errorDialog,,,2022-06-18 05:20:37
Dominic,tvui,profilesGate,,,2022-06-18 05:20:31
Dominic,tvui,browseTitles,,,2022-06-18 05:20:31
Dominic,tvui,profilesGate,,,2022-06-18 05:20:17
Dominic,tvui,movieDetails,,,2022-06-17 07:53:41
Dominic,tvui,profilesGate,,,2022-06-17 07:53:41
Dominic,tvui,playback,,,2022-06-17 07:22:44
Dominic,tvui,movieDetails,,,2022-06-17 07:22:44
Dominic,tvui,postPlay,,,2022-06-17 06:36:00
Dominic,tvui,playback,,,2022-06-17 06:36:00
Dominic,tvui,playback,,,2022-06-17 06:35:55
Dominic,tvui,postPlay,,,2022-06-17 06:35:55
Dominic,tvui,movieDetails,,,2022-06-17 05:17:38
Dominic,tvui,playback,,,2022-06-17 05:17:38
